Country/Region,compared population,Confirmed,Confirmed per capita,Deaths,Deaths per capita,Population,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,Afghanistan,36263,0.000898162,1269,3.14306E-05,40374668,25198,9796,106,10,18,3.5,69.49,5.04,35526,737,2.07,Eastern Mediterranean
Albania,Albania,4880,0.001700526,144,5.01795E-05,2869700,2745,1991,117,6,63,2.95,56.25,5.25,4171,709,17,Europe
Algeria,Algeria,27973,0.000620768,1163,2.58089E-05,45061896,18837,7973,616,8,749,4.16,67.34,6.17,23691,4282,18.07,Africa
Andorra,Andorra,907,0.011725163,52,0.000672225,77355,803,52,10,0,0,5.73,88.53,6.48,884,23,2.6,Europe
Angola,Angola,950,2.74835E-05,41,1.18613E-06,34566172,242,667,18,1,0,4.32,25.47,16.94,749,201,26.84,Africa
Antigua and Barbuda,Antigua And Barbuda,86,0.000867268,3,3.02535E-05,99162,65,18,4,0,5,3.49,75.58,4.62,76,10,13.16,Americas
Argentina,Argentina,167416,0.00365159,3059,6.67213E-05,45847428,72575,91782,4890,120,2057,1.83,43.35,4.21,130774,36642,28.02,Americas
Armenia,Armenia,37390,0.012585289,711,0.000239319,2970929,26665,10014,73,6,187,1.9,71.32,2.67,34981,2409,6.89,Europe
Australia,Australia,15303,0.000589484,167,6.43298E-06,25959987,9311,5825,368,6,137,1.09,60.84,1.79,12428,2875,23.13,Western Pacific
Austria,Austria,20558,0.002267722,713,7.865E-05,9065484,18246,1599,86,1,37,3.47,88.75,3.91,19743,815,4.13,Europe
Azerbaijan,Azerbaijan,30446,0.002963717,423,4.11763E-05,10272912,23242,6781,396,6,558,1.39,76.34,1.82,27890,2556,9.16,Europe
Bahamas,Bahamas,382,0.00095723,11,2.75642E-05,399068,91,280,40,0,0,2.88,23.82,12.09,174,208,119.54,Americas
Bahrain,Bahrain,39482,0.022237717,141,7.94164E-05,1775452,36110,3231,351,1,421,0.36,91.46,0.39,36936,2546,6.89,Eastern Mediterranean
Bangladesh,Bangladesh,226225,0.001352636,2965,1.77282E-05,167247491,125683,97577,2772,37,1801,1.31,55.56,2.36,207453,18772,9.05,South-East Asia
Barbados,Barbados,110,0.000382041,7,2.43117E-05,287927,94,9,0,0,0,6.36,85.45,7.45,106,4,3.77,Americas
Belarus,Belarus,67251,0.007124977,538,5.6999E-05,9438767,60492,6221,119,4,67,0.8,89.95,0.89,66213,1038,1.57,Europe
Belgium,Belgium,66428,0.005697864,9822,0.000842482,11658404,17452,39154,402,1,14,14.79,26.27,56.28,64094,2334,3.64,Europe
Belize,Belize,48,0.000117295,2,4.8873E-06,409224,26,20,0,0,0,4.17,54.17,7.69,40,8,20,Americas
Benin,Benin,1770,0.000139981,35,2.76798E-06,12644580,1036,699,0,0,0,1.98,58.53,3.38,1602,168,10.49,Africa
Bhutan,Bhutan,99,0.000126138,0,0,784855,86,13,4,0,1,0,86.87,0,90,9,10,South-East Asia
Bolivia,Bolivia,71181,0.005967994,2647,0.000221931,11927124,21478,47056,1752,64,309,3.72,30.17,12.32,60991,10190,16.71,Americas
Bosnia and Herzegovina,Bosnia And Herzegovina,10498,0.003228552,294,9.04167E-05,3251612,4930,5274,731,14,375,2.8,46.96,5.96,8479,2019,23.81,Europe
Botswana,Botswana,739,0.000304926,2,8.25241E-07,2423535,63,674,53,1,11,0.27,8.53,3.17,522,217,41.57,Africa
Brazil,Brazil,2442375,0.01136872,87618,0.000407843,214832901,1846641,508116,23284,614,33728,3.59,75.61,4.74,2118646,323729,15.28,Americas
Brunei,Brunei,141,0.000317637,3,6.75823E-06,443903,138,0,0,0,0,2.13,97.87,2.17,141,0,0,Western Pacific
Bulgaria,Bulgaria,10621,0.001546836,347,5.05369E-05,6866274,5585,4689,194,7,230,3.27,52.58,6.21,8929,1692,18.95,Europe
Burkina Faso,Burkina Faso,1100,5.03479E-05,53,2.42585E-06,21847968,926,121,14,0,6,4.82,84.18,5.72,1065,35,3.29,Africa
Burundi,Burundi,378,3.03136E-05,1,8.01946E-08,12469663,301,76,17,0,22,0.26,79.63,0.33,322,56,17.39,Africa
Cambodia,Cambodia,226,1.32318E-05,0,0,17080063,147,79,1,0,4,0,65.04,0,171,55,32.16,Western Pacific
Cameroon,Cameroon,17110,0.000619378,391,1.41541E-05,27624492,14539,2180,402,6,0,2.29,84.97,2.69,16157,953,5.9,Africa
Canada,Canada,116458,0.00304376,8944,0.000233761,38261228,0,107514,682,11,0,7.68,0,inf,112925,3533,3.13,Americas
Central African Republic,Central African Republic,4599,0.000924994,59,1.18666E-05,4971922,1546,2994,0,0,0,1.28,33.62,3.82,4548,51,1.12,Africa
Chad,Chad,922,5.35929E-05,75,4.35951E-06,17203787,810,37,7,0,0,8.13,87.85,9.26,889,33,3.71,Africa
Chile,Chile,347923,0.018050205,9187,0.00047662,19275294,319954,18782,2133,75,1859,2.64,91.96,2.87,333029,14894,4.47,Americas
China,China,86783,5.99717E-05,4656,3.21755E-06,1447065329,78869,3258,213,4,7,5.37,90.88,5.9,85622,1161,1.36,Western Pacific
Colombia,Colombia,257101,0.004991844,8777,0.000170413,51504213,131161,117163,16306,508,11494,3.41,51.02,6.69,204005,53096,26.03,Americas
Comoros,Comoros,354,0.000393483,7,7.78073E-06,899658,328,19,0,0,0,1.98,92.66,2.13,334,20,5.99,Africa
Costa Rica,Costa Rica,15841,0.003066784,115,2.22638E-05,5165346,3824,11902,612,11,88,0.73,24.14,3.01,11534,4307,37.34,Americas
Croatia,Croatia,4881,0.001199958,139,3.41721E-05,4067642,3936,806,24,3,70,2.85,80.64,3.53,4370,511,11.69,Europe
Cuba,Cuba,2532,0.000223822,87,7.69058E-06,11312548,2351,94,37,0,2,3.44,92.85,3.7,2446,86,3.52,Americas
North Cyprus,North Cyprus,1060,0.000868467,19,1.55669E-05,1220541,852,189,3,0,0,1.79,80.38,2.23,1038,22,2.12,Europe
Denmark,Denmark,13761,0.00236208,613,0.000105222,5825798,12605,543,109,0,77,4.45,91.6,4.86,13453,308,2.29,Europe
Djibouti,Djibouti,5059,0.005007042,58,5.74043E-05,1010377,4977,24,9,0,11,1.15,98.38,1.17,5020,39,0.78,Eastern Mediterranean
Dominica,Dominica,18,0.000249421,0,0,72167,18,0,0,0,0,0,100,0,18,0,0,Americas
Dominican Republic,Dominican Republic,64156,0.005824012,1083,9.83136E-05,11015774,30204,32869,1248,20,1601,1.69,47.08,3.59,53956,10200,18.9,Americas
Ecuador,Ecuador,81161,0.004500509,5532,0.000306758,18033738,34896,40733,467,17,0,6.82,43,15.85,74620,6541,8.77,Americas
Egypt,Egypt,92482,0.000877516,4652,4.41405E-05,105390688,34838,52992,420,46,1007,5.03,37.67,13.35,88402,4080,4.62,Eastern Mediterranean
El Salvador,El Salvador,15035,0.002299897,408,6.24116E-05,6537250,7778,6849,405,8,130,2.71,51.73,5.25,12207,2828,23.17,Americas
